               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  87,              2.0259,              1.2522,              1.6764,             0.86159,             0.71977,              0.7991,              0.3734,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              2.0438,              1.2464,              1.7532,             0.82676,             0.75294,              0.7626,             0.35208,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              2.0544,              1.2207,              1.7103,             0.87312,             0.71156,             0.81725,             0.38225,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              2.0487,              1.2173,              1.6986,             0.80843,             0.74931,             0.78081,             0.36849,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,               2.071,              1.2427,               1.715,             0.78487,             0.71941,             0.77268,             0.35256,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,               2.056,              1.2256,              1.7163,             0.86107,             0.70963,             0.77839,             0.36319,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              2.0012,              1.1557,              1.6869,             0.88832,             0.72771,             0.82608,              0.3666,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              1.9689,              1.2033,              1.7115,             0.79931,             0.77089,             0.80723,             0.38095,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              2.0412,              1.1857,              1.7116,             0.81772,             0.76765,             0.78928,             0.37338,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              2.0528,              1.1757,              1.7071,             0.79293,             0.71136,             0.73933,             0.33126,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.9654,              1.1596,              1.6906,              0.8171,             0.74314,             0.76888,             0.35904,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.9527,              1.1157,              1.6557,             0.81673,             0.71483,             0.75863,             0.33995,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,              1.9737,               1.142,              1.6687,             0.83288,             0.72735,             0.76606,             0.36172,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,              1.9744,              1.1444,              1.7283,             0.77585,             0.73008,             0.74653,             0.34458,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,              2.0097,              1.2034,              1.7216,             0.82178,             0.76937,             0.81368,             0.37823,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.9347,              1.1374,              1.7013,             0.76849,             0.70489,             0.72544,             0.33539,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,               2.021,              1.1407,              1.7018,             0.83793,             0.72626,             0.78364,             0.36166,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,              1.9535,              1.1753,              1.6813,             0.82009,             0.67357,              0.7657,             0.35543,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,              1.9505,              1.1451,              1.6948,              0.8325,             0.72172,             0.76744,             0.35487,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.9802,              1.1196,              1.6565,             0.79984,              0.7403,             0.77469,             0.35137,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.9507,              1.0833,              1.6304,             0.80512,             0.71047,             0.74921,             0.34677,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,              1.9469,              1.0936,              1.6781,             0.77355,             0.71771,             0.74191,             0.33341,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.9463,              1.1062,              1.6799,              0.8482,             0.74133,             0.80456,             0.37817,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,              1.9285,               1.064,                1.65,             0.85277,             0.76837,             0.82561,             0.37827,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
