               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  66,              2.0917,              1.6336,              1.7889,             0.61602,             0.71255,             0.63297,             0.32162,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,               2.051,              1.6599,              1.8147,             0.81091,             0.69824,             0.75276,             0.38646,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              2.0341,              1.6088,              1.7807,             0.79971,             0.77431,             0.79019,             0.40025,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              2.0716,              1.6161,              1.7828,             0.80301,             0.73413,             0.78425,             0.40378,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,              2.0527,              1.5952,              1.7844,             0.78143,             0.66958,             0.70885,             0.37954,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              2.0522,              1.5982,              1.7954,             0.74813,             0.77431,             0.77677,             0.41095,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              2.0213,              1.5887,              1.7759,             0.79924,             0.75983,             0.74647,             0.38776,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              2.0649,              1.6181,              1.7699,             0.74839,             0.73211,             0.73889,             0.38015,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              1.9944,              1.5291,              1.7671,             0.79976,             0.79431,             0.79162,              0.4033,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              1.9615,              1.5261,              1.7443,             0.81546,             0.75824,             0.76083,             0.38381,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,              1.9988,              1.5022,              1.7778,             0.76546,             0.80098,             0.78888,             0.39886,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,              1.9675,              1.4943,              1.7473,             0.80442,              0.8235,             0.81185,             0.41034,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              1.9827,              1.5265,              1.7537,             0.82744,              0.7328,             0.78476,             0.40059,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,              1.9717,              1.5066,              1.7564,             0.83065,             0.73922,             0.78165,             0.40083,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              1.9684,              1.4941,              1.7504,             0.77681,             0.76412,             0.81456,             0.40944,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,              2.0333,              1.5504,              1.8148,             0.76941,             0.81373,             0.82237,             0.41949,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,              1.9724,              1.4998,              1.7658,              0.8565,             0.74749,             0.79841,             0.41899,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,              1.9305,              1.5072,              1.7251,             0.81417,             0.75784,             0.76751,             0.40499,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              1.9677,              1.5155,              1.7753,              0.8277,             0.74707,             0.78552,             0.40556,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              1.9896,              1.4804,              1.7618,             0.84447,             0.78747,             0.81073,             0.43049,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,               1.972,              1.5189,              1.7415,             0.79449,              0.8039,             0.80741,             0.41575,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,              1.9522,              1.4578,              1.7388,             0.78912,             0.76435,             0.78204,             0.41509,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              1.9784,                1.47,              1.7665,             0.82598,              0.7922,             0.80405,             0.43309,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              1.9307,              1.4486,              1.7334,             0.81205,             0.76588,             0.78248,             0.41421,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              1.9372,              1.4843,              1.7352,             0.80609,             0.79618,             0.79762,             0.42117,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,              1.9236,              1.4007,              1.7243,             0.82378,             0.81195,             0.83745,             0.42831,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,              1.9841,               1.464,              1.7418,             0.84234,             0.82063,             0.84702,             0.43841,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              1.9137,               1.404,              1.7548,             0.83401,             0.77922,             0.80248,              0.4113,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              2.0001,              1.4555,              1.7674,             0.80002,             0.74605,             0.76303,             0.40979,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              1.9313,              1.4486,              1.7416,             0.83538,             0.75118,             0.81849,             0.43895,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              1.9171,              1.4071,              1.7231,              0.8318,             0.77294,             0.80171,             0.41732,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.9219,               1.404,              1.7254,             0.76407,             0.83682,             0.81944,             0.42543,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.9557,              1.4201,              1.7311,             0.82331,             0.79695,             0.81947,             0.42037,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,              1.8732,              1.3574,              1.7242,             0.83865,             0.76804,             0.82563,             0.42551,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,               1.891,              1.3083,              1.6912,              0.8408,             0.81392,             0.83735,             0.43019,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,               1.901,              1.3862,              1.7301,             0.80664,             0.79564,             0.81686,             0.41336,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.8685,              1.3216,              1.6771,             0.81827,             0.85353,             0.82063,             0.41906,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,              1.9162,              1.3763,              1.7114,             0.78244,             0.77132,             0.79383,             0.38768,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,              1.8799,              1.3622,              1.6898,             0.76387,             0.78819,             0.77502,             0.40238,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,              1.8742,              1.3465,              1.7013,             0.80342,             0.76095,                0.78,             0.39672,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.9045,              1.3729,              1.7196,             0.79359,             0.81706,             0.82507,             0.43124,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.8402,              1.3203,              1.6963,             0.78435,             0.81714,             0.79909,             0.41754,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,              1.8665,              1.2925,              1.7029,             0.83039,             0.84882,             0.85511,             0.44232,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.8528,              1.3054,              1.6917,             0.79805,             0.80725,             0.79694,             0.42368,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,              1.8782,               1.336,              1.6821,             0.78904,             0.83462,             0.79844,             0.42017,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,               1.862,              1.3421,              1.7093,             0.81942,             0.78765,             0.81425,             0.41515,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,              1.8816,              1.3337,              1.6881,             0.81622,             0.76804,             0.81178,             0.42032,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
